Tipo fila;Hito;Elemento;Codigo;Descripcion de la prueba;Estado;Fecha fin;Fecha negocio;Observaciones
HITO;SPRINT 0;Pre-arranque;;;Tecnologia - En desarrollo;;;
CABECERA;SPRINT 0;FE-01;Analisis tecnico revision simulacion RF v.2 y plan de componentes en modal admision;Tecnologia - Finalizado;;;
DESARROLLO;SPRINT 0;FE-01;Babooni;Analisis tecnico revision simulacion RF v.2 y plan de componentes en modal admision;Tecnologia - Finalizado;;;
CABECERA;SPRINT 0;BE-01;Analisis tecnico diseno solucion contratos API Minerva endpoint PDF HM filtro Examen de Salud;Tecnologia - En desarrollo;;;
DESARROLLO;SPRINT 0;BE-01;Babooni;Analisis tecnico diseno de solucion contratos API Minerva + endpoint PDF HM (delegacion eanaliticas) y filtro Examen de Salud;Tecnologia - En desarrollo;;;
HITO;SPRINT 1;Justificante de asistencia al examen de salud desde el flujo operativo de Ver citas de MINERVA;;;Tecnologia - En desarrollo;;;
CABECERA;SPRINT 1;FE-02;Bloque justificante antes del boton de admision visible solo Examen de Salud (CA-01/CA-10);Tecnologia - En desarrollo;;;
DESARROLLO;SPRINT 1;FE-02;Babooni;Bloque justificante antes del boton de admision visible solo Examen de Salud (CA-01/CA-10);Tecnologia - En desarrollo;;;
VALIDACION;SPRINT 1;FE-02;Negocio;CA-01 - Dado que el usuario accede a Ver citas y abre el icono de verificacion/admision de una actividad Examen de Salud cuando se muestra la ventana entonces aparece el bloque Justificante de asistencia antes del boton de admision.;Tecnologia - En desarrollo;;;
VALIDACION;SPRINT 1;FE-02;Negocio;CA-10 - Dado que la actividad no es Examen de Salud cuando se abre la ventana de verificacion/admision entonces no se muestra el bloque de justificante.;Tecnologia - En desarrollo;;;
CABECERA;SPRINT 1;FE-03;Campos hora entrada y hora fin con precarga automatica y edicion manual;Tecnologia - En desarrollo;;;
DESARROLLO;SPRINT 1;FE-03;Babooni;Campos hora entrada y hora fin con precarga automatica edicion manual y posible refresh hora fin (CA-02/03/04/05);Tecnologia - En desarrollo;;;
VALIDACION;SPRINT 1;FE-03;Negocio;CA-02 - Dado que existe hora de admision cuando se abre el bloque entonces la hora de entrada aparece precargada.;Tecnologia - En desarrollo;;;
VALIDACION;SPRINT 1;FE-03;Negocio;CA-03 - Dado que existe hora de finalizacion medica o de enfermeria cuando se abre el bloque entonces la hora de fin aparece precargada con la hora mas tardia disponible.;Tecnologia - En desarrollo;;;
VALIDACION;SPRINT 1;FE-03;Negocio;CA-04 - Dado que no existe hora de fin cuando se abre el bloque entonces el campo aparece en blanco y permite edicion manual.;Tecnologia - En desarrollo;;;
VALIDACION;SPRINT 1;FE-03;Negocio;CA-05 - Dado que el usuario edita las horas y genera/envia el justificante entonces el PDF se genera con las horas visibles en ese momento.;Tecnologia - En desarrollo;;;
CABECERA;SPRINT 1;FE-04;Selector de canal Mail / SMS / Papel-PDF y validaciones de contacto bloqueantes;Tecnologia - En desarrollo;;;
DESARROLLO;SPRINT 1;FE-04;Babooni;Selector de canal (Mail / SMS / Papel-PDF) y validaciones de contacto bloqueantes (CA-07/08);Tecnologia - En desarrollo;;;
VALIDACION;SPRINT 1;FE-04;Negocio;CA-07 - Dado que el usuario selecciona Mail y existe email cuando pulsa Enviar justificante entonces se genera y envia el justificante en caliente.;Tecnologia - En desarrollo;;;
VALIDACION;SPRINT 1;FE-04;Negocio;CA-08 - Dado que el usuario selecciona SMS y existe movil cuando pulsa Enviar justificante entonces se genera el justificante y se envia enlace de descarga.;Tecnologia - En desarrollo;;;
CABECERA;SPRINT 1;FE-05;Flujo Enviar justificante con estados carga/error/exito;Tecnologia - En desarrollo;;;
DESARROLLO;SPRINT 1;FE-05;Babooni;Flujo Enviar justificante con estados carga/error/exito blob PDF papel mensajes CA-06/07/08/09;Tecnologia - En desarrollo;;;
VALIDACION;SPRINT 1;FE-05;Negocio;CA-06 - Dado que la hora de fin es anterior a la hora de entrada cuando el usuario intenta enviar/generar entonces MINERVA bloquea la accion.;Tecnologia - En desarrollo;;;
VALIDACION;SPRINT 1;FE-05;Negocio;CA-07 - Dado que el usuario selecciona Mail y existe email cuando pulsa Enviar justificante entonces se genera y envia el justificante en caliente.;Tecnologia - En desarrollo;;;
VALIDACION;SPRINT 1;FE-05;Negocio;CA-08 - Dado que el usuario selecciona SMS y existe movil cuando pulsa Enviar justificante entonces se genera el justificante y se envia enlace de descarga.;Tecnologia - En desarrollo;;;
VALIDACION;SPRINT 1;FE-05;Negocio;CA-09 - Dado que el usuario selecciona Papel cuando pulsa Enviar justificante entonces se genera el PDF para impresion o descarga.;Tecnologia - En desarrollo;;;
CABECERA;SPRINT 1;BE-03;API precarga de horas admision cierre medico/enfermeria hora mas tardia;Tecnologia - En desarrollo;;;
DESARROLLO;SPRINT 1;BE-03;Babooni;API precarga de horas (admision cierre medico/enfermeria — hora mas tardia CA-03) flag actividad Examen de Salud contactos ficha;Tecnologia - En desarrollo;;;
VALIDACION;SPRINT 1;BE-03;Negocio;CA-02 - Dado que existe hora de admision cuando se abre el bloque entonces la hora de entrada aparece precargada.;Tecnologia - En desarrollo;;;
VALIDACION;SPRINT 1;BE-03;Negocio;CA-03 - Dado que existe hora de finalizacion medica o de enfermeria cuando se abre el bloque entonces la hora de fin aparece precargada con la hora mas tardia disponible.;Tecnologia - En desarrollo;;;
VALIDACION;SPRINT 1;BE-03;Negocio;CA-04 - Dado que no existe hora de fin cuando se abre el bloque entonces el campo aparece en blanco y permite edicion manual.;Tecnologia - En desarrollo;;;
CABECERA;SPRINT 1;BE-04;Motor PDF unico con Thymeleaf plantilla multiidioma portacion logica legacy;Tecnologia - En desarrollo;;;
DESARROLLO;SPRINT 1;BE-04;Babooni;Motor PDF unico con Thymeleaf (plantilla multiidioma portacion logica horas/datos desde legacy horas editables endpoint reutilizable por HM — CA-05/12);Tecnologia - En desarrollo;;;
VALIDACION;SPRINT 1;BE-04;Negocio;CA-05 - Dado que el usuario edita las horas y genera/envia el justificante entonces el PDF se genera con las horas visibles en ese momento.;Tecnologia - En desarrollo;;;
VALIDACION;SPRINT 1;BE-04;Negocio;CA-12 - Dado que se genera el justificante cuando se revisa el documento entonces no incluye aptitud resultados restricciones observaciones clinicas ni protocolos.;Tecnologia - En desarrollo;;;
CABECERA;SPRINT 1;BE-06;API generar / enviar en caliente validaciones horas respuesta stream o adjunto;Tecnologia - En desarrollo;;;
DESARROLLO;SPRINT 1;BE-06;Babooni;API generar / enviar en caliente (validaciones horas respuesta stream o adjunto — sin persistencia);Tecnologia - En desarrollo;;;
VALIDACION;SPRINT 1;BE-06;Negocio;CA-06 - Dado que la hora de fin es anterior a la hora de entrada cuando el usuario intenta enviar/generar entonces MINERVA bloquea la accion.;Tecnologia - En desarrollo;;;
VALIDACION;SPRINT 1;BE-06;Negocio;CA-09 - Dado que el usuario selecciona Papel cuando pulsa Enviar justificante entonces se genera el PDF para impresion o descarga.;Tecnologia - En desarrollo;;;
HITO;SPRINT 1;Comunicaciones Mail/SMS e Historial Medico;;;Tecnologia - En desarrollo;;;
CABECERA;SPRINT 1;BE-07;Integracion Mail reutilizar circuito consentimiento adjunto PDF en caliente;Tecnologia - En desarrollo;;;
DESARROLLO;SPRINT 1;BE-07;Babooni;Integracion Mail (reutilizar circuito consentimiento adjunto PDF en caliente — CA-07);Tecnologia - En desarrollo;;;
VALIDACION;SPRINT 1;BE-07;Negocio;CA-07 - Dado que el usuario selecciona Mail y existe email cuando pulsa Enviar justificante entonces se genera y envia el justificante en caliente.;Tecnologia - En desarrollo;;;
CABECERA;SPRINT 1;BE-08;Integracion SMS con enlace de descarga temporal token caducidad;Tecnologia - En desarrollo;;;
DESARROLLO;SPRINT 1;BE-08;Babooni;Integracion SMS con enlace de descarga temporal (token caducidad — CA-08);Tecnologia - En desarrollo;;;
VALIDACION;SPRINT 1;BE-08;Negocio;CA-08 - Dado que el usuario selecciona SMS y existe movil cuando pulsa Enviar justificante entonces se genera el justificante y se envia enlace de descarga.;Tecnologia - En desarrollo;;;
CABECERA;SPRINT 1;BE-10;Validaciones de negocio y seguridad enlaces SMS temporales;Tecnologia - En desarrollo;;;
DESARROLLO;SPRINT 1;BE-10;Babooni;Validaciones de negocio y seguridad (enlaces SMS temporales CA-12);Tecnologia - En desarrollo;;;
VALIDACION;SPRINT 1;BE-10;Negocio;CA-06 - Dado que la hora de fin es anterior a la hora de entrada cuando el usuario intenta enviar/generar entonces MINERVA bloquea la accion.;Tecnologia - En desarrollo;;;
CABECERA;SPRINT 1;BE-17;Adaptador Historial Medico delegacion eanaliticas a planificacion-backend;Tecnologia - En desarrollo;;;
DESARROLLO;SPRINT 1;BE-17;Babooni;Adaptador Historial Medico (eanaliticas): delegacion a planificacion-backend auth W2W regresion HM eliminar ODT/JOOReports (CA-11);Tecnologia - En desarrollo;;;
VALIDACION;SPRINT 1;BE-17;Negocio;CA-11 - Dado que se genera un justificante desde Historial medico cuando se abre el PDF entonces se muestra con el nuevo formato definitivo.;Tecnologia - En desarrollo;;;
HITO;CIERRE Sem 3;Validaciones UX calidad despliegue PRO;;;Tecnologia - Pendiente;;;
CABECERA;CIERRE;FE-07;Validaciones UX alineadas con RF 7.3 HH:MM hora fin >= entrada mensajes bloqueantes;Tecnologia - Pendiente;;;
DESARROLLO;CIERRE;FE-07;Babooni;Validaciones UX alineadas con RF 7.3 (HH:MM hora fin >= entrada mensajes bloqueantes);Tecnologia - Pendiente;;;
VALIDACION;CIERRE;FE-07;Negocio;CA-06 - Dado que la hora de fin es anterior a la hora de entrada cuando el usuario intenta enviar/generar entonces MINERVA bloquea la accion.;Tecnologia - Pendiente;;;
CABECERA;CIERRE;FE-08;i18n de mensajes accesibilidad y pulido UI del bloque;Tecnologia - Pendiente;;;
DESARROLLO;CIERRE;FE-08;Babooni;i18n de mensajes accesibilidad y pulido UI del bloque;Tecnologia - Pendiente;;;
CABECERA;CIERRE;FE-09;Tests unitarios Karma + Jasmine bloque justificante validaciones flujos;Tecnologia - Pendiente;;;
DESARROLLO;CIERRE;FE-09;Babooni;Tests unitarios con Karma + Jasmine (bloque justificante validaciones flujos);Tecnologia - Pendiente;;;
CABECERA;CIERRE;FE-10;Soporte plan de pruebas CA-01..CA-13 frontend y correccion de defectos;Tecnologia - Pendiente;;;
DESARROLLO;CIERRE;FE-10;Babooni;Soporte plan de pruebas (CA-01..CA-13 frontend) y correccion de defectos;Tecnologia - Pendiente;;;
VALIDACION;CIERRE;FE-10;Negocio;CA-13 - Dado que se genera o envia el justificante cuando se consulta el log del reconocimiento o Acercate Empresas entonces no aparece el justificante (fuera de alcance v.2).;Tecnologia - Pendiente;;;
CABECERA;CIERRE;FE-11;Creacion de MR + despliegue a entorno DEMO y verificacion;Tecnologia - Pendiente;;;
DESARROLLO;CIERRE;FE-11;Babooni;Creacion de MR + despliegue a entorno DEMO y verificacion;Tecnologia - Pendiente;;;
CABECERA;CIERRE;FE-12;Plan de accion a Produccion + implementacion (parte FE);Tecnologia - Pendiente;;;
DESARROLLO;CIERRE;FE-12;Babooni;Plan de accion a Produccion + implementacion (parte FE: pasos ventana rollback MR a master despliegue PRO);Tecnologia - Pendiente;;;
CABECERA;CIERRE;BE-11;Pruebas unitarias e integracion PDF comunicaciones validaciones horas;Tecnologia - Pendiente;;;
DESARROLLO;CIERRE;BE-11;Babooni;Pruebas unitarias e integracion (PDF comunicaciones validaciones horas);Tecnologia - Pendiente;;;
CABECERA;CIERRE;BE-12;Soporte plan de pruebas CA-01..CA-13 backend y correccion de defectos;Tecnologia - Pendiente;;;
DESARROLLO;CIERRE;BE-12;Babooni;Soporte plan de pruebas (CA-01..CA-13 backend) y correccion de defectos;Tecnologia - Pendiente;;;
VALIDACION;CIERRE;BE-12;Negocio;CA-13 - Dado que se genera o envia el justificante cuando se consulta el log del reconocimiento o Acercate Empresas entonces no aparece el justificante (fuera de alcance v.2).;Tecnologia - Pendiente;;;
CABECERA;CIERRE;BE-13;Configuracion y reporte cobertura Jacoco + mutation testing Pitest;Tecnologia - Pendiente;;;
DESARROLLO;CIERRE;BE-13;Babooni;Configuracion y reporte de cobertura con Jacoco + mutation testing con Pitest;Tecnologia - Pendiente;;;
CABECERA;CIERRE;BE-14;Documentacion tecnica y handover servicios contratos configuracion;Tecnologia - Pendiente;;;
DESARROLLO;CIERRE;BE-14;Babooni;Documentacion tecnica y handover (servicios contratos configuracion);Tecnologia - Pendiente;;;
CABECERA;CIERRE;BE-15;Creacion de MR + despliegue a entorno DEMO y verificacion;Tecnologia - Pendiente;;;
DESARROLLO;CIERRE;BE-15;Babooni;Creacion de MR + despliegue a entorno DEMO y verificacion;Tecnologia - Pendiente;;;
CABECERA;CIERRE;BE-16;Plan de accion a Produccion + implementacion (parte BE);Tecnologia - Pendiente;;;
DESARROLLO;CIERRE;BE-16;Babooni;Plan de accion a Produccion + implementacion (parte BE: pasos ventana rollback MR a master despliegue PRO);Tecnologia - Pendiente;;;
